"1 -","C"
"2 -","E"
"3 -","D"
"4 -","A"
"5 -","D"
"6 -","B"
"7 -","D"
"8 -","C"
"9 -","Discursiva"
"10 -","Discursiva"
"11 -","E"
"12 -","A"
"13 -","A"
"14 -","E"
"15 -","C"
"16 -","D"
"17 -","C"
"18 -","E"
"19 -","C"
"20 -","D"
"21 -","A"
"22 -","C"
"23 -","B"
"24 -","B"
"25 -","B"
"26 -","B"
"27 -","D"
"28 -","Discursiva"
"29 -","Discursiva"
"30 -","A"
"31 -","D"
"32 -","E"
"33 -","C"
"34 -","E"
"35 -","A"
"36 -","D"
"37 -","A"
"38 -","C"
"39 -","B"
"40 -","Discursiva"
"41 -","A"
"42 -","D"
"43 -","B"
"44 -","C"
"45 -","C"
"46 -","B"
"47 -","A"
"48 -","D"
"49 -","E"
"50 -","C"
"51 -","Discursiva"
