"1 -","C"
"2 -","E"
"3 -","D"
"4 -","A"
"5 -","D"
"6 -","B"
"7 -","D"
"8 -","C"
"9 -","Discursiva"
"10 -","Discursiva"
"11 -","B"
"12 -","C"
"13 -","A"
"14 -","E"
"15 -","B"
"16 -","D"
"17 -","C"
"18 -","D"
"19 -","E"
"20 -","A"
"21 -","C"
"22 -","B"
"23 -","A"
"24 -","D"
"25 -","E"
"26 -","E"
"27 -","B"
"28 -","B"
"29 -","A"
"30 -","C"
"31 -","B"
"32 -","A"
"33 -","Discursiva"
"34 -","Discursiva"
"35 -","Discursiva"
"36 -","D"
"37 -","A"
"38 -","E"
"39 -","E"
"40 -","A"
"41 -","B"
"42 -","C"
"43 -","D"
"44 -","C"
"45 -","B"
"46 -","C"
"47 -","D"
"48 -","B"
"49 -","C"
"50 -","D"
"51 -","A"
"52 -","E"
"53 -","D"
"54 -","C"
"55 -","E"
