ENGENHARIA – GRUPO IV
1 - C
2 - E
3 - D
4 - A
5 - D
6 - B
7 - D
8 - C
9 - Discursiva
10 - Discursiva
11 - B
12 - C
13 - A
14 - E
15 - B
16 - D
17 - C
18 - D
19 - E
20 - A
21 - E
22 - A
23 - A
24 - ANULADA
25 - D
26 - D
27 - E
28 - C
29 - E
30 - C
31 - B
32 - E
33 - Discursiva
34 - Discursiva
35 - Discursiva
Engenharia Química e
Engenharia Industrial Química
36 - B
37 - C
38 - B
39 - E
43 - B
44 - D
45 - D
Engenharia Bioquímica e
Engenharia de Biotecnologia
46 - C
47 - B
48 - A
49 - E
50 - C
Engenharia Têxtil
51 - A
