""
DAS QUESTÕES DE MÚLTIPL
NGENHARIA – GRUPO VI
1 - C
2 - E
3 - D
4 - A
5 - D
6 - B
7 - D
8 - C
9 - Discursiva
10 - Discursiva
11 - C
12 - C
13 - C
14 - A
15 - E
16 - D
17 - E
18 - C
19 - A
20 - D
21 - A
22 - D
23 - A
24 - B
25 - C
26 - E
27 - C
28 - B
29 - C
30 - D
31 - C
32 - E
33 - D
34 - C
35 - C
36 - D
37 - B
38 - Discursiva
39 - Discursiva
40 - Discursiva
41 - B
42 - E
43 - E
44 - C
45 - A
46 - A
47 - B
48 - Discursiva
49 - Discursiva
50 - Discursiva
51 - E
52 - C
53 - E
54 - ANULADA
55 - A
56 - E
57 - C
58 - Discursiva
59 - Discursiva
60 - Discursiva
