"1 -","C"
"2 -","E"
"3 -","D"
"4 -","A"
"5 -","D"
"6 -","B"
"7 -","D"
"8 -","C"
"9 -","Discursiva"
"10 -","Discursiva"
"11 -","B"
"12 -","C"
"13 -","A"
"14 -","E"
"15 -","B"
"16 -","D"
"17 -","C"
"18 -","D"
"19 -","E"
"20 -","A"
"21 -","B"
"22 -","A"
"23 -","D"
"24 -","C"
"25 -","B"
"26 -","C"
"27 -","D"
"28 -","D"
"29 -","E"
"30 -","E"
"Engenharia Civil",""
"31 -","A"
"32 -","A"
"33 -","E"
"34 -","B"
"35 -","C"
"36 -","D"
"37 -","D"
"38 -","Discursiva"
"39 -","Discursiva"
"40 -","Discursiva"
"Engenharia Sanitária",""
