"1 -","C"
"2 -","E"
"3 -","D"
"4 -","A"
"5 -","D"
"6 -","B"
"7 -","D"
"8 -","C"
"9 -","Discursiva"
"10 -","Discursiva"
"11 -","C"
"12 -","C"
"13 -","A"
"14 -","E"
"15 -","B"
"16 -","B"
"17 -","D"
"18 -","C"
"19 -","A"
"20 -","Discursiva"
"21 -","D"
"22 -","A"
"23 -","E"
"24 -","E"
"25 -","E"
"26 -","B"
"27 -","D"
"28 -","A"
"29 -","D"
"30 -","D"
"31 -","B"
"32 -","C"
"33 -","C"
"34 -","A"
"35 -","B"
"36 -","A"
"37 -","C"
"38 -","E"
"39 -","Discursiva"
"40 -","Discursiva"
"41 -","C"
"42 -","D"
"43 -","B"
"44 -","ANULADA"
"45 -","E"
"46 -","D"
"47 -","C"
"48 -","D"
"49 -","D"
"50 -","A"
"51 -","A"
