"1 -","C"
"2 -","E"
"3 -","D"
"4 -","A"
"5 -","D"
"6 -","B"
"7 -","D"
"8 -","C"
"9 -","Discursiva"
"10 -","Discursiva"
"11 -","B"
"12 -","A"
"13 -","C"
"14 -","D"
"15 -","B"
"16 -","C"
"17 -","C"
"18 -","D"
"19 -","E"
"20 -","B"
"21 -","B"
"22 -","C"
"23 -","D"
"24 -","C"
"25 -","E"
"26 -","D"
"27 -","D"
"28 -","E"
"29 -","E"
"30 -","Discursiva"
"Bacharelado",""
"31 -","B"
"32 -","A"
"33 -","D"
"34 -","ANULADA"
"35 -","A"
"36 -","B"
"37 -","D"
"38 -","E"
"39 -","Discursiva"
"40 -","Discursiva"
"Licenciatura",""
"41 - 
D",""
"42 - 
A",""
