"ITEM
GABARITO",""
"QUESTÃO 1","ANULADA"
"QUESTÃO 2","D"
"QUESTÃO 3","C"
"QUESTÃO 4","B"
"QUESTÃO 5","C"
"QUESTÃO 6","C"
"QUESTÃO 7","D"
"QUESTÃO 8","B"
"QUESTÃO 9","E"
"QUESTÃO 10","E"
"QUESTÃO 11","A"
"QUESTÃO 12","B"
"QUESTÃO 13","B"
"QUESTÃO 14","E"
"QUESTÃO 15","B"
"QUESTÃO 16","D"
"QUESTÃO 17","E"
"QUESTÃO 18","B"
"QUESTÃO 19","B"
"QUESTÃO 20","A"
"QUESTÃO 21","D"
"QUESTÃO 22","E"
"QUESTÃO 23","C"
"QUESTÃO 24","B"
"QUESTÃO 25","D"
"QUESTÃO 26","A"
"QUESTÃO 27","D"
"QUESTÃO 28","D"
"QUESTÃO 29","C"
"QUESTÃO 30","C"
"QUESTÃO 31","A"
"QUESTÃO 32","D"
"QUESTÃO 33","C"
"QUESTÃO 34","B"
"QUESTÃO 35","A"
