"ITEM
GABARITO",""
"QUESTÃO 1","ANULADA"
"QUESTÃO 2","D"
"QUESTÃO 3","C"
"QUESTÃO 4","B"
"QUESTÃO 5","C"
"QUESTÃO 6","C"
"QUESTÃO 7","D"
"QUESTÃO 8","B"
"QUESTÃO 9","B"
"QUESTÃO 10","A"
"QUESTÃO 11","D"
"QUESTÃO 12","C"
"QUESTÃO 13","A"
"QUESTÃO 14","B"
"QUESTÃO 15","D"
"QUESTÃO 16","C"
"QUESTÃO 17","E"
"QUESTÃO 18","D"
"QUESTÃO 19","E"
"QUESTÃO 20","C"
"QUESTÃO 21","A"
"QUESTÃO 22","C"
"QUESTÃO 23","B"
"QUESTÃO 24","C"
"QUESTÃO 25","D"
"QUESTÃO 26","A"
"QUESTÃO 27","E"
"QUESTÃO 28","D"
"QUESTÃO 29","E"
"QUESTÃO 30","ANULADA"
"QUESTÃO 31","E"
"QUESTÃO 32","ANULADA"
"QUESTÃO 33","B"
"QUESTÃO 34","A"
"QUESTÃO 35","A"
