"ITEM
GABARITO",""
"QUESTÃO 1","ANULADA"
"QUESTÃO 2","D"
"QUESTÃO 3","C"
"QUESTÃO 4","B"
"QUESTÃO 5","C"
"QUESTÃO 6","C"
"QUESTÃO 7","D"
"QUESTÃO 8","B"
"QUESTÃO 9","D"
"QUESTÃO 10","ANULADA"
"QUESTÃO 11","C"
"QUESTÃO 12","E"
"QUESTÃO 13","A"
"QUESTÃO 14","E"
"QUESTÃO 15","C"
"QUESTÃO 16","B"
"QUESTÃO 17","D"
"QUESTÃO 18","C"
"QUESTÃO 19","D"
"QUESTÃO 20","E"
"QUESTÃO 21","E"
"QUESTÃO 22","D"
"QUESTÃO 23","B"
"QUESTÃO 24","E"
"QUESTÃO 25","E"
"QUESTÃO 26","D"
"QUESTÃO 27","B"
"QUESTÃO 28","E"
"QUESTÃO 29","C"
"QUESTÃO 30","D"
"QUESTÃO 31","ANULADA"
"QUESTÃO 32","E"
"QUESTÃO 33","A"
"QUESTÃO 34","D"
"QUESTÃO 35","C"
