"ITEM
GABARITO",""
"QUESTÃO 1","ANULADA"
"QUESTÃO 2","D"
"QUESTÃO 3","C"
"QUESTÃO 4","B"
"QUESTÃO 5","C"
"QUESTÃO 6","C"
"QUESTÃO 7","D"
"QUESTÃO 8","B"
"QUESTÃO 9","A"
"QUESTÃO 10","A"
"QUESTÃO 11","D"
"QUESTÃO 12","C"
"QUESTÃO 13","D"
"QUESTÃO 14","C"
"QUESTÃO 15","B"
"QUESTÃO 16","B"
"QUESTÃO 17","D"
"QUESTÃO 18","A"
"QUESTÃO 19","B"
"QUESTÃO 20","E"
"QUESTÃO 21","A"
"QUESTÃO 22","C"
"QUESTÃO 23","E"
"QUESTÃO 24","B"
"QUESTÃO 25","A"
"QUESTÃO 26","E"
"QUESTÃO 27","C"
"QUESTÃO 28","ANULADA"
"QUESTÃO 29","B"
"QUESTÃO 30","C"
"QUESTÃO 31","B"
"QUESTÃO 32","A"
"QUESTÃO 33","D"
"QUESTÃO 34","D"
"QUESTÃO 35","E"
