"ITEM
GABARITO",""
"QUESTÃO 1","ANULADA"
"QUESTÃO 2","D"
"QUESTÃO 3","C"
"QUESTÃO 4","B"
"QUESTÃO 5","C"
"QUESTÃO 6","C"
"QUESTÃO 7","D"
"QUESTÃO 8","B"
"QUESTÃO 9","B"
"QUESTÃO 10","C"
"QUESTÃO 11","C"
"QUESTÃO 12","A"
"QUESTÃO 13","E"
"QUESTÃO 14","D"
"QUESTÃO 15","E"
"QUESTÃO 16","D"
"QUESTÃO 17","C"
"QUESTÃO 18","B"
"QUESTÃO 19","E"
"QUESTÃO 20","C"
"QUESTÃO 21","D"
"QUESTÃO 22","A"
"QUESTÃO 23","C"
"QUESTÃO 24","E"
"QUESTÃO 25","D"
"QUESTÃO 26","A"
"QUESTÃO 27","C"
"QUESTÃO 28","A"
"QUESTÃO 29","D"
"QUESTÃO 30","E"
"QUESTÃO 31","B"
"QUESTÃO 32","C"
"QUESTÃO 33","B"
"QUESTÃO 34","B"
"QUESTÃO 35","E"
