"ITEM
GABARITO",""
"QUESTÃO 1","ANULADA"
"QUESTÃO 2","D"
"QUESTÃO 3","C"
"QUESTÃO 4","B"
"QUESTÃO 5","C"
"QUESTÃO 6","C"
"QUESTÃO 7","D"
"QUESTÃO 8","B"
"QUESTÃO 9","E"
"QUESTÃO 10","ANULADA"
"QUESTÃO 11","E"
"QUESTÃO 12","D"
"QUESTÃO 13","D"
"QUESTÃO 14","E"
"QUESTÃO 15","C"
"QUESTÃO 16","A"
"QUESTÃO 17","A"
"QUESTÃO 18","D"
"QUESTÃO 19","B"
"QUESTÃO 20","B"
"QUESTÃO 21","ANULADA"
"QUESTÃO 22","E"
"QUESTÃO 23","C"
"QUESTÃO 24","D"
"QUESTÃO 25","E"
"QUESTÃO 26","A"
"QUESTÃO 27","B"
"QUESTÃO 28","B"
"QUESTÃO 29","C"
"QUESTÃO 30","C"
"QUESTÃO 31","C"
"QUESTÃO 32","A"
"QUESTÃO 33","D"
"QUESTÃO 34","A"
"QUESTÃO 35","B"
