"ITEM
GABARITO",""
"QUESTÃO 1","ANULADA"
"QUESTÃO 2","D"
"QUESTÃO 3","C"
"QUESTÃO 4","B"
"QUESTÃO 5","C"
"QUESTÃO 6","C"
"QUESTÃO 7","D"
"QUESTÃO 8","B"
"QUESTÃO 9","D"
"QUESTÃO 10","B"
"QUESTÃO 11","D"
"QUESTÃO 12","E"
"QUESTÃO 13","A"
"QUESTÃO 14","C"
"QUESTÃO 15","B"
"QUESTÃO 16","B"
"QUESTÃO 17","B"
"QUESTÃO 18","E"
"QUESTÃO 19","B"
"QUESTÃO 20","C"
"QUESTÃO 21","A"
"QUESTÃO 22","C"
"QUESTÃO 23","B"
"QUESTÃO 24","A"
"QUESTÃO 25","A"
"QUESTÃO 26","D"
"QUESTÃO 27","C"
"QUESTÃO 28","E"
"QUESTÃO 29","C"
"QUESTÃO 30","E"
"QUESTÃO 31","D"
"QUESTÃO 32","A"
"QUESTÃO 33","E"
"QUESTÃO 34","E"
"QUESTÃO 35","E"
