"ITEM
GABARITO",""
"QUESTÃO 1","ANULADA"
"QUESTÃO 2","D"
"QUESTÃO 3","C"
"QUESTÃO 4","B"
"QUESTÃO 5","C"
"QUESTÃO 6","C"
"QUESTÃO 7","D"
"QUESTÃO 8","B"
"QUESTÃO 9","A"
"QUESTÃO 10","E"
"QUESTÃO 11","B"
"QUESTÃO 12","D"
"QUESTÃO 13","E"
"QUESTÃO 14","ANULADA"
"QUESTÃO 15","D"
"QUESTÃO 16","E"
"QUESTÃO 17","C"
"QUESTÃO 18","E"
"QUESTÃO 19","C"
"QUESTÃO 20","D"
"QUESTÃO 21","D"
"QUESTÃO 22","C"
"QUESTÃO 23","D"
"QUESTÃO 24","B"
"QUESTÃO 25","D"
"QUESTÃO 26","A"
"QUESTÃO 27","D"
"QUESTÃO 28","A"
"QUESTÃO 29","D"
"QUESTÃO 30","E"
"QUESTÃO 31","A"
"QUESTÃO 32","D"
"QUESTÃO 33","B"
"QUESTÃO 34","E"
"QUESTÃO 35","E"
