"ITEM
GABARITO",""
"QUESTÃO 1","ANULADA"
"QUESTÃO 2","D"
"QUESTÃO 3","C"
"QUESTÃO 4","B"
"QUESTÃO 5","C"
"QUESTÃO 6","C"
"QUESTÃO 7","D"
"QUESTÃO 8","B"
"QUESTÃO 9","D"
"QUESTÃO 10","B"
"QUESTÃO 11","E"
"QUESTÃO 12","B"
"QUESTÃO 13","A"
"QUESTÃO 14","B"
"QUESTÃO 15","D"
"QUESTÃO 16","E"
"QUESTÃO 17","A"
"QUESTÃO 18","C"
"QUESTÃO 19","ANULADA"
"QUESTÃO 20","A"
"QUESTÃO 21","E"
"QUESTÃO 22","B"
"QUESTÃO 23","D"
"QUESTÃO 24","B"
"QUESTÃO 25","C"
"QUESTÃO 26","C"
"QUESTÃO 27","C"
"QUESTÃO 28","B"
"QUESTÃO 29","D"
"QUESTÃO 30","E"
"QUESTÃO 31","D"
"QUESTÃO 32","C"
"QUESTÃO 33","A"
"QUESTÃO 34","A"
"QUESTÃO 35","E"
