"ITEM
GABARITO",""
"QUESTÃO 1","ANULADA"
"QUESTÃO 2","D"
"QUESTÃO 3","C"
"QUESTÃO 4","B"
"QUESTÃO 5","C"
"QUESTÃO 6","C"
"QUESTÃO 7","D"
"QUESTÃO 8","B"
"QUESTÃO 9","B"
"QUESTÃO 10","C"
"QUESTÃO 11","B"
"QUESTÃO 12","C"
"QUESTÃO 13","A"
"QUESTÃO 14","E"
"QUESTÃO 15","E"
"QUESTÃO 16","C"
"QUESTÃO 17","E"
"QUESTÃO 18","D"
"QUESTÃO 19","A"
"QUESTÃO 20","D"
"QUESTÃO 21","D"
"QUESTÃO 22","B"
"QUESTÃO 23","C"
"QUESTÃO 24","D"
"QUESTÃO 25","B"
"QUESTÃO 26","E"
"QUESTÃO 27","E"
"QUESTÃO 28","C"
"QUESTÃO 29","B"
"QUESTÃO 30","E"
"QUESTÃO 31","D"
"QUESTÃO 32","ANULADA"
"QUESTÃO 33","D"
"QUESTÃO 34","D"
"QUESTÃO 35","A"
